consume,end_time,index,length,link,start_time,norm_start_time,day_start_time,day_start_date
12.18,2016-07-19 10:19:47.180,361,198,114,2016-07-19 10:19:35.000,2016-07-19 10:00:00.000,10:00:00,2016-07-19
7.75,2016-07-19 10:29:57.750,373,131,102,2016-07-19 10:29:50.000,2016-07-19 10:20:00.000,10:20:00,2016-07-19
6.47,2016-07-19 10:47:00.470,396,109,110,2016-07-19 10:46:54.000,2016-07-19 10:40:00.000,10:40:00,2016-07-19
8.83,2016-07-19 10:59:52.830,405,197,122,2016-07-19 10:59:44.000,2016-07-19 10:40:00.000,10:40:00,2016-07-19
2.94,2016-07-19 11:07:19.940,413,107,115,2016-07-19 11:07:17.000,2016-07-19 11:00:00.000,11:00:00,2016-07-19
3.59,2016-07-19 11:07:23.590,413,131,102,2016-07-19 11:07:20.000,2016-07-19 11:00:00.000,11:00:00,2016-07-19
2.48,2016-07-19 11:16:55.480,422,59,123,2016-07-19 11:16:53.000,2016-07-19 11:00:00.000,11:00:00,2016-07-19
3.84,2016-07-19 11:28:17.840,431,58,100,2016-07-19 11:28:14.000,2016-07-19 11:20:00.000,11:20:00,2016-07-19
7.13,2016-07-19 11:34:41.130,434,109,110,2016-07-19 11:34:34.000,2016-07-19 11:20:00.000,11:20:00,2016-07-19
23.87,2016-07-19 12:00:59.870,452,197,122,2016-07-19 12:00:36.000,2016-07-19 12:00:00.000,12:00:00,2016-07-19
10.36,2016-07-19 12:31:23.360,476,197,122,2016-07-19 12:31:13.000,2016-07-19 12:20:00.000,12:20:00,2016-07-19
5.36,2016-07-19 12:44:42.360,494,109,110,2016-07-19 12:44:37.000,2016-07-19 12:40:00.000,12:40:00,2016-07-19
5.57,2016-07-19 13:02:56.570,518,109,110,2016-07-19 13:02:51.000,2016-07-19 13:00:00.000,13:00:00,2016-07-19
0.31,2016-07-19 13:03:04.310,518,6,120,2016-07-19 13:03:04.000,2016-07-19 13:00:00.000,13:00:00,2016-07-19
0.96,2016-07-19 13:25:49.960,542,15,106,2016-07-19 13:25:49.000,2016-07-19 13:20:00.000,13:20:00,2016-07-19
3.14,2016-07-19 13:29:38.140,551,59,123,2016-07-19 13:29:35.000,2016-07-19 13:20:00.000,13:20:00,2016-07-19
0.49,2016-07-19 13:49:01.490,571,9,119,2016-07-19 13:49:01.000,2016-07-19 13:40:00.000,13:40:00,2016-07-19
5.15,2016-07-19 14:40:38.150,643,197,122,2016-07-19 14:40:33.000,2016-07-19 14:40:00.000,14:40:00,2016-07-19
3.62,2016-07-19 14:54:53.620,672,58,100,2016-07-19 14:54:50.000,2016-07-19 14:40:00.000,14:40:00,2016-07-19
6.08,2016-07-19 15:24:59.080,710,109,110,2016-07-19 15:24:53.000,2016-07-19 15:20:00.000,15:20:00,2016-07-19
0.3,2016-07-19 15:25:06.300,710,6,120,2016-07-19 15:25:06.000,2016-07-19 15:20:00.000,15:20:00,2016-07-19
5.82,2016-07-19 15:47:12.820,740,109,110,2016-07-19 15:47:07.000,2016-07-19 15:40:00.000,15:40:00,2016-07-19
13.21,2016-07-19 15:55:40.210,748,198,114,2016-07-19 15:55:27.000,2016-07-19 15:40:00.000,15:40:00,2016-07-19
5.09,2016-07-19 16:08:40.090,771,135,109,2016-07-19 16:08:35.000,2016-07-19 16:00:00.000,16:00:00,2016-07-19
7.5,2016-07-19 16:08:58.500,771,199,112,2016-07-19 16:08:51.000,2016-07-19 16:00:00.000,16:00:00,2016-07-19
0.26,2016-07-19 16:20:23.260,780,6,120,2016-07-19 16:20:23.000,2016-07-19 16:20:00.000,16:20:00,2016-07-19
5.83,2016-07-19 16:20:28.830,780,136,117,2016-07-19 16:20:23.000,2016-07-19 16:20:00.000,16:20:00,2016-07-19
3.87,2016-07-19 16:33:56.870,800,107,115,2016-07-19 16:33:53.000,2016-07-19 16:20:00.000,16:20:00,2016-07-19
4.74,2016-07-19 16:34:01.740,800,131,102,2016-07-19 16:33:57.000,2016-07-19 16:20:00.000,16:20:00,2016-07-19
4.89,2016-07-19 16:34:06.890,800,135,109,2016-07-19 16:34:02.000,2016-07-19 16:20:00.000,16:20:00,2016-07-19
0.5,2016-07-19 16:47:00.500,813,6,120,2016-07-19 16:47:00.000,2016-07-19 16:40:00.000,16:40:00,2016-07-19
4.39,2016-07-19 16:57:37.390,828,58,100,2016-07-19 16:57:33.000,2016-07-19 16:40:00.000,16:40:00,2016-07-19
6.99,2016-07-19 17:56:41.990,886,109,110,2016-07-19 17:56:35.000,2016-07-19 17:40:00.000,17:40:00,2016-07-19
3.91,2016-07-19 17:56:59.910,887,107,115,2016-07-19 17:56:56.000,2016-07-19 17:40:00.000,17:40:00,2016-07-19
4.94,2016-07-19 17:57:09.940,887,135,109,2016-07-19 17:57:05.000,2016-07-19 17:40:00.000,17:40:00,2016-07-19
0.96,2016-07-19 18:23:29.960,910,9,119,2016-07-19 18:23:29.000,2016-07-19 18:20:00.000,18:20:00,2016-07-19
1.72,2016-07-19 18:25:04.720,911,59,123,2016-07-19 18:25:03.000,2016-07-19 18:20:00.000,18:20:00,2016-07-19
0.32,2016-07-19 18:29:30.320,920,6,120,2016-07-19 18:29:30.000,2016-07-19 18:20:00.000,18:20:00,2016-07-19
5.86,2016-07-19 18:43:15.860,935,78,105,2016-07-19 18:43:10.000,2016-07-19 18:40:00.000,18:40:00,2016-07-19
5.09,2016-07-19 19:10:19.090,957,109,110,2016-07-19 19:10:14.000,2016-07-19 19:00:00.000,19:00:00,2016-07-19
0.32,2016-07-19 19:51:48.320,988,6,120,2016-07-19 19:51:48.000,2016-07-19 19:40:00.000,19:40:00,2016-07-19
5.51,2016-07-19 20:22:38.510,1014,109,110,2016-07-19 20:22:33.000,2016-07-19 20:20:00.000,20:20:00,2016-07-19
2.98,2016-07-19 20:22:41.980,1014,59,123,2016-07-19 20:22:39.000,2016-07-19 20:20:00.000,20:20:00,2016-07-19
1.72,2016-07-19 20:22:43.720,1014,34,107,2016-07-19 20:22:42.000,2016-07-19 20:20:00.000,20:20:00,2016-07-19
2.02,2016-07-19 20:22:45.020,1014,40,108,2016-07-19 20:22:43.000,2016-07-19 20:20:00.000,20:20:00,2016-07-19
0.3,2016-07-19 20:22:45.300,1014,6,120,2016-07-19 20:22:45.000,2016-07-19 20:20:00.000,20:20:00,2016-07-19
5.66,2016-07-19 20:49:04.660,1029,109,110,2016-07-19 20:48:59.000,2016-07-19 20:40:00.000,20:40:00,2016-07-19
2.08,2016-07-19 20:49:12.080,1029,40,108,2016-07-19 20:49:10.000,2016-07-19 20:40:00.000,20:40:00,2016-07-19
0.31,2016-07-19 20:49:12.310,1029,6,120,2016-07-19 20:49:12.000,2016-07-19 20:40:00.000,20:40:00,2016-07-19
3.76,2016-07-19 21:15:08.760,1043,109,110,2016-07-19 21:15:05.000,2016-07-19 21:00:00.000,21:00:00,2016-07-19
2.75,2016-07-19 21:20:12.750,1046,109,110,2016-07-19 21:20:10.000,2016-07-19 21:20:00.000,21:20:00,2016-07-19
1.49,2016-07-19 21:20:13.490,1046,59,123,2016-07-19 21:20:12.000,2016-07-19 21:20:00.000,21:20:00,2016-07-19
0.86,2016-07-19 21:20:14.860,1046,34,107,2016-07-19 21:20:14.000,2016-07-19 21:20:00.000,21:20:00,2016-07-19
1.01,2016-07-19 21:20:16.010,1046,40,108,2016-07-19 21:20:15.000,2016-07-19 21:20:00.000,21:20:00,2016-07-19
0.15,2016-07-19 21:20:16.150,1046,6,120,2016-07-19 21:20:16.000,2016-07-19 21:20:00.000,21:20:00,2016-07-19
14.75,2016-07-19 23:22:43.750,1097,136,117,2016-07-19 23:22:29.000,2016-07-19 23:20:00.000,23:20:00,2016-07-19
0.42,2016-07-19 23:28:38.420,1101,6,120,2016-07-19 23:28:38.000,2016-07-19 23:20:00.000,23:20:00,2016-07-19
5.58,2016-07-19 23:54:30.580,1108,109,110,2016-07-19 23:54:25.000,2016-07-19 23:40:00.000,23:40:00,2016-07-19
1.89,2016-07-19 23:54:41.890,1108,40,108,2016-07-19 23:54:40.000,2016-07-19 23:40:00.000,23:40:00,2016-07-19
3.7,2016-07-20 04:09:28.700,1147,59,123,2016-07-20 04:09:25.000,2016-07-20 04:00:00.000,04:00:00,2016-07-20
2.21,2016-07-20 04:09:31.210,1147,34,107,2016-07-20 04:09:29.000,2016-07-20 04:00:00.000,04:00:00,2016-07-20
2.5,2016-07-20 05:09:52.500,1163,59,123,2016-07-20 05:09:50.000,2016-07-20 05:00:00.000,05:00:00,2016-07-20
3.2,2016-07-20 05:58:20.200,1191,40,108,2016-07-20 05:58:17.000,2016-07-20 05:40:00.000,05:40:00,2016-07-20
5.07,2016-07-20 06:15:23.070,1199,109,110,2016-07-20 06:15:18.000,2016-07-20 06:00:00.000,06:00:00,2016-07-20
0.5,2016-07-20 07:15:28.500,1236,6,120,2016-07-20 07:15:28.000,2016-07-20 07:00:00.000,07:00:00,2016-07-20
2.02,2016-07-20 07:22:49.020,1241,40,108,2016-07-20 07:22:47.000,2016-07-20 07:20:00.000,07:20:00,2016-07-20
1.56,2016-07-20 07:24:25.560,1244,40,108,2016-07-20 07:24:24.000,2016-07-20 07:20:00.000,07:20:00,2016-07-20
6.04,2016-07-20 07:50:18.040,1268,78,105,2016-07-20 07:50:12.000,2016-07-20 07:40:00.000,07:40:00,2016-07-20
18.21,2016-07-20 07:54:43.210,1271,197,122,2016-07-20 07:54:25.000,2016-07-20 07:40:00.000,07:40:00,2016-07-20
1.6,2016-07-20 08:05:10.600,1288,23,103,2016-07-20 08:05:09.000,2016-07-20 08:00:00.000,08:00:00,2016-07-20
6.46,2016-07-20 08:09:08.460,1294,109,110,2016-07-20 08:09:02.000,2016-07-20 08:00:00.000,08:00:00,2016-07-20
1.68,2016-07-20 08:23:01.680,1305,40,108,2016-07-20 08:23:00.000,2016-07-20 08:20:00.000,08:20:00,2016-07-20
2.62,2016-07-20 08:32:15.620,1316,107,115,2016-07-20 08:32:13.000,2016-07-20 08:20:00.000,08:20:00,2016-07-20
1.96,2016-07-20 08:33:43.960,1320,40,108,2016-07-20 08:33:42.000,2016-07-20 08:20:00.000,08:20:00,2016-07-20
3.72,2016-07-20 08:54:05.720,1343,78,105,2016-07-20 08:54:02.000,2016-07-20 08:40:00.000,08:40:00,2016-07-20
2.77,2016-07-20 08:54:08.770,1343,58,100,2016-07-20 08:54:06.000,2016-07-20 08:40:00.000,08:40:00,2016-07-20
2.87,2016-07-20 09:08:23.870,1358,34,107,2016-07-20 09:08:21.000,2016-07-20 09:00:00.000,09:00:00,2016-07-20
5.87,2016-07-20 09:20:28.870,1375,58,100,2016-07-20 09:20:23.000,2016-07-20 09:20:00.000,09:20:00,2016-07-20
55.42,2016-07-20 10:19:44.420,1418,206,118,2016-07-20 10:18:49.000,2016-07-20 10:00:00.000,10:00:00,2016-07-20
18.05,2016-07-20 10:49:35.050,1449,293,104,2016-07-20 10:49:17.000,2016-07-20 10:40:00.000,10:40:00,2016-07-20
4.15,2016-07-20 11:14:58.150,1472,109,110,2016-07-20 11:14:54.000,2016-07-20 11:00:00.000,11:00:00,2016-07-20
2.25,2016-07-20 11:15:00.250,1472,59,123,2016-07-20 11:14:58.000,2016-07-20 11:00:00.000,11:00:00,2016-07-20
1.29,2016-07-20 11:15:01.290,1472,34,107,2016-07-20 11:15:00.000,2016-07-20 11:00:00.000,11:00:00,2016-07-20
0.23,2016-07-20 11:15:03.230,1472,6,120,2016-07-20 11:15:03.000,2016-07-20 11:00:00.000,11:00:00,2016-07-20
0.21,2016-07-20 12:36:44.210,1549,6,120,2016-07-20 12:36:44.000,2016-07-20 12:20:00.000,12:20:00,2016-07-20
2.69,2016-07-20 12:40:22.690,1551,78,105,2016-07-20 12:40:20.000,2016-07-20 12:40:00.000,12:40:00,2016-07-20
0.9,2016-07-20 12:57:18.900,1574,9,119,2016-07-20 12:57:18.000,2016-07-20 12:40:00.000,12:40:00,2016-07-20
2.56,2016-07-20 13:13:23.560,1593,58,100,2016-07-20 13:13:21.000,2016-07-20 13:00:00.000,13:00:00,2016-07-20
12.05,2016-07-20 13:18:57.050,1605,198,114,2016-07-20 13:18:45.000,2016-07-20 13:00:00.000,13:00:00,2016-07-20
6.53,2016-07-20 13:34:56.530,1624,109,110,2016-07-20 13:34:50.000,2016-07-20 13:20:00.000,13:20:00,2016-07-20
21.74,2016-07-20 14:05:43.740,1662,121,111,2016-07-20 14:05:22.000,2016-07-20 14:00:00.000,14:00:00,2016-07-20
1.2,2016-07-20 14:40:01.200,1694,23,103,2016-07-20 14:40:00.000,2016-07-20 14:40:00.000,14:40:00,2016-07-20
5.05,2016-07-20 14:39:30.050,1695,109,110,2016-07-20 14:39:25.000,2016-07-20 14:20:00.000,14:20:00,2016-07-20
8.24,2016-07-20 15:54:34.240,1762,109,110,2016-07-20 15:54:26.000,2016-07-20 15:40:00.000,15:40:00,2016-07-20
2.02,2016-07-20 16:03:56.020,1769,58,100,2016-07-20 16:03:54.000,2016-07-20 16:00:00.000,16:00:00,2016-07-20
1.87,2016-07-20 16:26:50.870,1795,40,108,2016-07-20 16:26:49.000,2016-07-20 16:20:00.000,16:20:00,2016-07-20
0.28,2016-07-20 16:26:51.280,1795,6,120,2016-07-20 16:26:51.000,2016-07-20 16:20:00.000,16:20:00,2016-07-20
5.79,2016-07-20 16:47:29.790,1817,109,110,2016-07-20 16:47:24.000,2016-07-20 16:40:00.000,16:40:00,2016-07-20
7.41,2016-07-20 16:50:14.410,1822,78,105,2016-07-20 16:50:07.000,2016-07-20 16:40:00.000,16:40:00,2016-07-20
4.92,2016-07-20 16:50:18.920,1822,58,100,2016-07-20 16:50:14.000,2016-07-20 16:40:00.000,16:40:00,2016-07-20
0.66,2016-07-20 16:55:44.660,1826,9,119,2016-07-20 16:55:44.000,2016-07-20 16:40:00.000,16:40:00,2016-07-20
7.74,2016-07-20 17:17:14.740,1843,197,122,2016-07-20 17:17:07.000,2016-07-20 17:00:00.000,17:00:00,2016-07-20
4.55,2016-07-20 17:44:14.550,1879,109,110,2016-07-20 17:44:10.000,2016-07-20 17:40:00.000,17:40:00,2016-07-20
1.67,2016-07-20 17:44:20.670,1879,40,108,2016-07-20 17:44:19.000,2016-07-20 17:40:00.000,17:40:00,2016-07-20
5.12,2016-07-20 18:09:41.120,1906,109,110,2016-07-20 18:09:36.000,2016-07-20 18:00:00.000,18:00:00,2016-07-20
1.72,2016-07-20 18:43:36.720,1941,59,123,2016-07-20 18:43:35.000,2016-07-20 18:40:00.000,18:40:00,2016-07-20
1.16,2016-07-20 18:43:39.160,1941,40,108,2016-07-20 18:43:38.000,2016-07-20 18:40:00.000,18:40:00,2016-07-20
0.17,2016-07-20 18:43:39.170,1941,6,120,2016-07-20 18:43:39.000,2016-07-20 18:40:00.000,18:40:00,2016-07-20
1.14,2016-07-20 18:55:32.140,1958,23,103,2016-07-20 18:55:31.000,2016-07-20 18:40:00.000,18:40:00,2016-07-20
6.78,2016-07-20 19:01:06.780,1966,58,100,2016-07-20 19:01:00.000,2016-07-20 19:00:00.000,19:00:00,2016-07-20
8.11,2016-07-20 19:31:49.110,2001,197,122,2016-07-20 19:31:41.000,2016-07-20 19:20:00.000,19:20:00,2016-07-20
0.72,2016-07-20 19:36:11.720,2003,6,120,2016-07-20 19:36:11.000,2016-07-20 19:20:00.000,19:20:00,2016-07-20
1.14,2016-07-20 19:43:24.140,2007,23,103,2016-07-20 19:43:23.000,2016-07-20 19:40:00.000,19:40:00,2016-07-20
20.97,2016-07-20 20:12:39.970,2042,206,118,2016-07-20 20:12:19.000,2016-07-20 20:00:00.000,20:00:00,2016-07-20
0.61,2016-07-20 20:20:46.610,2046,9,119,2016-07-20 20:20:46.000,2016-07-20 20:20:00.000,20:20:00,2016-07-20
18.66,2016-07-20 21:16:20.660,2085,121,111,2016-07-20 21:16:02.000,2016-07-20 21:00:00.000,21:00:00,2016-07-20
13.83,2016-07-20 22:01:10.830,2118,206,118,2016-07-20 22:00:57.000,2016-07-20 22:00:00.000,22:00:00,2016-07-20
1.46,2016-07-20 22:25:50.460,2132,40,108,2016-07-20 22:25:49.000,2016-07-20 22:20:00.000,22:20:00,2016-07-20
0.72,2016-07-20 22:52:58.720,2138,6,120,2016-07-20 22:52:58.000,2016-07-20 22:40:00.000,22:40:00,2016-07-20
7.57,2016-07-20 23:44:30.570,2155,109,110,2016-07-20 23:44:23.000,2016-07-20 23:40:00.000,23:40:00,2016-07-20
2.53,2016-07-20 23:54:21.530,2161,40,108,2016-07-20 23:54:19.000,2016-07-20 23:40:00.000,23:40:00,2016-07-20
13.59,2016-07-21 03:18:56.590,2192,136,117,2016-07-21 03:18:43.000,2016-07-21 03:00:00.000,03:00:00,2016-07-21
5.1,2016-07-21 03:40:14.100,2196,59,123,2016-07-21 03:40:09.000,2016-07-21 03:40:00.000,03:40:00,2016-07-21
3.53,2016-07-21 06:13:04.530,2232,109,110,2016-07-21 06:13:01.000,2016-07-21 06:00:00.000,06:00:00,2016-07-21
2.95,2016-07-21 06:54:25.950,2245,109,110,2016-07-21 06:54:23.000,2016-07-21 06:40:00.000,06:40:00,2016-07-21
1.6,2016-07-21 06:54:27.600,2245,59,123,2016-07-21 06:54:26.000,2016-07-21 06:40:00.000,06:40:00,2016-07-21
0.92,2016-07-21 06:54:28.920,2245,34,107,2016-07-21 06:54:28.000,2016-07-21 06:40:00.000,06:40:00,2016-07-21
1.08,2016-07-21 06:54:30.080,2245,40,108,2016-07-21 06:54:29.000,2016-07-21 06:40:00.000,06:40:00,2016-07-21
5.35,2016-07-21 06:54:35.350,2245,198,114,2016-07-21 06:54:30.000,2016-07-21 06:40:00.000,06:40:00,2016-07-21
3.47,2016-07-21 09:02:01.470,2384,109,110,2016-07-21 09:01:58.000,2016-07-21 09:00:00.000,09:00:00,2016-07-21
3.84,2016-07-21 09:24:18.840,2399,109,110,2016-07-21 09:24:15.000,2016-07-21 09:20:00.000,09:20:00,2016-07-21
1.2,2016-07-21 09:24:22.200,2399,34,107,2016-07-21 09:24:21.000,2016-07-21 09:20:00.000,09:20:00,2016-07-21
1.41,2016-07-21 09:24:23.410,2399,40,108,2016-07-21 09:24:22.000,2016-07-21 09:20:00.000,09:20:00,2016-07-21
0.21,2016-07-21 09:24:23.210,2399,6,120,2016-07-21 09:24:23.000,2016-07-21 09:20:00.000,09:20:00,2016-07-21
8.76,2016-07-21 09:27:24.760,2401,135,109,2016-07-21 09:27:16.000,2016-07-21 09:20:00.000,09:20:00,2016-07-21
4.73,2016-07-21 09:53:08.730,2419,59,123,2016-07-21 09:53:04.000,2016-07-21 09:40:00.000,09:40:00,2016-07-21
0.66,2016-07-21 09:57:33.660,2420,15,106,2016-07-21 09:57:33.000,2016-07-21 09:40:00.000,09:40:00,2016-07-21
0.6,2016-07-21 10:06:25.600,2423,15,106,2016-07-21 10:06:25.000,2016-07-21 10:00:00.000,10:00:00,2016-07-21
13.8,2016-07-21 10:45:10.800,2452,199,112,2016-07-21 10:44:57.000,2016-07-21 10:40:00.000,10:40:00,2016-07-21
8.44,2016-07-21 11:00:33.440,2470,131,102,2016-07-21 11:00:25.000,2016-07-21 11:00:00.000,11:00:00,2016-07-21
3.52,2016-07-21 11:09:57.520,2478,59,123,2016-07-21 11:09:54.000,2016-07-21 11:00:00.000,11:00:00,2016-07-21
10.61,2016-07-21 11:32:22.610,2500,293,104,2016-07-21 11:32:12.000,2016-07-21 11:20:00.000,11:20:00,2016-07-21
4.27,2016-07-21 11:32:49.270,2500,118,121,2016-07-21 11:32:45.000,2016-07-21 11:20:00.000,11:20:00,2016-07-21
2.15,2016-07-21 11:38:27.150,2504,34,107,2016-07-21 11:38:25.000,2016-07-21 11:20:00.000,11:20:00,2016-07-21
2.67,2016-07-21 11:38:29.670,2504,40,108,2016-07-21 11:38:27.000,2016-07-21 11:20:00.000,11:20:00,2016-07-21
3.11,2016-07-21 12:06:15.110,2523,59,123,2016-07-21 12:06:12.000,2016-07-21 12:00:00.000,12:00:00,2016-07-21
3.76,2016-07-21 12:16:22.760,2534,59,123,2016-07-21 12:16:19.000,2016-07-21 12:00:00.000,12:00:00,2016-07-21
8.63,2016-07-21 12:16:36.630,2534,136,117,2016-07-21 12:16:28.000,2016-07-21 12:00:00.000,12:00:00,2016-07-21
5.15,2016-07-21 12:22:24.150,2546,84,101,2016-07-21 12:22:19.000,2016-07-21 12:20:00.000,12:20:00,2016-07-21
8.65,2016-07-21 12:22:32.650,2546,118,121,2016-07-21 12:22:24.000,2016-07-21 12:20:00.000,12:20:00,2016-07-21
2.5,2016-07-21 12:29:13.500,2557,40,108,2016-07-21 12:29:11.000,2016-07-21 12:20:00.000,12:20:00,2016-07-21
2.15,2016-07-21 12:41:20.150,2565,58,100,2016-07-21 12:41:18.000,2016-07-21 12:40:00.000,12:40:00,2016-07-21
0.46,2016-07-21 12:59:20.460,2593,9,119,2016-07-21 12:59:20.000,2016-07-21 12:40:00.000,12:40:00,2016-07-21
6.67,2016-07-21 13:05:24.670,2600,121,111,2016-07-21 13:05:18.000,2016-07-21 13:00:00.000,13:00:00,2016-07-21
6.69,2016-07-21 13:29:47.690,2633,109,110,2016-07-21 13:29:41.000,2016-07-21 13:20:00.000,13:20:00,2016-07-21
0.61,2016-07-21 13:37:24.610,2641,9,119,2016-07-21 13:37:24.000,2016-07-21 13:20:00.000,13:20:00,2016-07-21
11.64,2016-07-21 13:37:35.640,2641,198,114,2016-07-21 13:37:24.000,2016-07-21 13:20:00.000,13:20:00,2016-07-21
12.4,2016-07-21 13:37:48.400,2641,206,118,2016-07-21 13:37:36.000,2016-07-21 13:20:00.000,13:20:00,2016-07-21
5.72,2016-07-21 13:45:07.720,2648,109,110,2016-07-21 13:45:02.000,2016-07-21 13:40:00.000,13:40:00,2016-07-21
4.73,2016-07-21 13:54:53.730,2663,78,105,2016-07-21 13:54:49.000,2016-07-21 13:40:00.000,13:40:00,2016-07-21
1.38,2016-07-21 14:37:15.380,2713,34,107,2016-07-21 14:37:14.000,2016-07-21 14:20:00.000,14:20:00,2016-07-21
1.63,2016-07-21 14:37:17.630,2713,40,108,2016-07-21 14:37:16.000,2016-07-21 14:20:00.000,14:20:00,2016-07-21
3.15,2016-07-21 14:52:18.150,2727,109,110,2016-07-21 14:52:15.000,2016-07-21 14:40:00.000,14:40:00,2016-07-21
2.63,2016-07-21 15:03:26.630,2736,59,123,2016-07-21 15:03:24.000,2016-07-21 15:00:00.000,15:00:00,2016-07-21
16.68,2016-07-21 15:47:57.680,2790,206,118,2016-07-21 15:47:41.000,2016-07-21 15:40:00.000,15:40:00,2016-07-21
6.12,2016-07-21 15:57:20.120,2810,109,110,2016-07-21 15:57:14.000,2016-07-21 15:40:00.000,15:40:00,2016-07-21
4.64,2016-07-21 16:44:06.640,2857,78,105,2016-07-21 16:44:02.000,2016-07-21 16:40:00.000,16:40:00,2016-07-21
6.45,2016-07-21 16:53:33.450,2873,109,110,2016-07-21 16:53:27.000,2016-07-21 16:40:00.000,16:40:00,2016-07-21
5.25,2016-07-21 17:42:01.250,2919,107,115,2016-07-21 17:41:56.000,2016-07-21 17:40:00.000,17:40:00,2016-07-21
0.64,2016-07-21 17:49:33.640,2928,6,120,2016-07-21 17:49:33.000,2016-07-21 17:40:00.000,17:40:00,2016-07-21
3.98,2016-07-21 18:23:00.980,2960,59,123,2016-07-21 18:22:57.000,2016-07-21 18:20:00.000,18:20:00,2016-07-21
0.25,2016-07-21 18:23:20.250,2960,6,120,2016-07-21 18:23:20.000,2016-07-21 18:20:00.000,18:20:00,2016-07-21
6.26,2016-07-21 19:00:53.260,2993,109,110,2016-07-21 19:00:47.000,2016-07-21 19:00:00.000,19:00:00,2016-07-21
6.64,2016-07-21 19:06:56.640,2999,109,110,2016-07-21 19:06:50.000,2016-07-21 19:00:00.000,19:00:00,2016-07-21
8.48,2016-07-21 19:08:01.480,3001,78,105,2016-07-21 19:07:53.000,2016-07-21 19:00:00.000,19:00:00,2016-07-21
2.11,2016-07-21 19:21:35.110,3009,40,108,2016-07-21 19:21:33.000,2016-07-21 19:20:00.000,19:20:00,2016-07-21
2.71,2016-07-21 19:26:12.710,3015,109,110,2016-07-21 19:26:10.000,2016-07-21 19:20:00.000,19:20:00,2016-07-21
5.71,2016-07-21 19:31:16.710,3019,197,122,2016-07-21 19:31:11.000,2016-07-21 19:20:00.000,19:20:00,2016-07-21
0.78,2016-07-21 19:51:55.780,3037,9,119,2016-07-21 19:51:55.000,2016-07-21 19:40:00.000,19:40:00,2016-07-21
25.41,2016-07-21 19:58:21.410,3041,197,122,2016-07-21 19:57:56.000,2016-07-21 19:40:00.000,19:40:00,2016-07-21
0.17,2016-07-21 20:09:04.170,3056,6,120,2016-07-21 20:09:04.000,2016-07-21 20:00:00.000,20:00:00,2016-07-21
2.25,2016-07-21 20:30:58.250,3080,40,108,2016-07-21 20:30:56.000,2016-07-21 20:20:00.000,20:20:00,2016-07-21
5.28,2016-07-21 20:55:55.280,3093,109,110,2016-07-21 20:55:50.000,2016-07-21 20:40:00.000,20:40:00,2016-07-21
0.29,2016-07-21 20:56:01.290,3093,6,120,2016-07-21 20:56:01.000,2016-07-21 20:40:00.000,20:40:00,2016-07-21
8.57,2016-07-21 21:30:52.570,3110,109,110,2016-07-21 21:30:44.000,2016-07-21 21:20:00.000,21:20:00,2016-07-21
0.57,2016-07-21 21:52:38.570,3124,9,119,2016-07-21 21:52:38.000,2016-07-21 21:40:00.000,21:40:00,2016-07-21
